part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date,order_qty,order_date,close_date,unit_price_rm,ext_price_rm,cost_ea_est_rm,cost_ea_act_rm,profit_ea_rm,material_total_rm,labor_total_rm,burden_total_rm,subcon_total_rm,ga_total_rm,total_run_min_pc,notes
839-A29596-001,12972R08,910,LEAK TEST,LEAK TEST,0.20,0.00,1.67,2.47,7.4,28.05,22.23,2.47,244.53,99,20,19-Jan-26,,,,,,,,,,,,,,,
839-A29596-001,12972R08,998,INSPECT,INSPECT,0.20,0.00,1.00,1.05,3.15,18.00,11.61,1.05,103.95,99,20,19-Jan-26,,,,,,,,,,,,,,,
839-A29596-001,12972R08,LAM-PACK,PKG CLN10K,PKG CLN10K,0.00,0.00,1.67,1.27,3.8,33.40,11.60,1.27,176.53,139,20,19-Jan-26,,,,,,,,,,,,,,,
0022-26609,COFAB-quote,,,,,,,,,,,,,,,,1,,,USD 67.00,USD 67.00,,,,,,,,,15.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PEEK Natural; source=10 Sample part (COFAB).xlsx#0022-26609
0022-26609,COFAB-quote,,,,,,,,,,,,,,,,5,,,USD 44.00,USD 220.00,,,,,,,,,15.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PEEK Natural; source=10 Sample part (COFAB).xlsx#0022-26609
0022-26609,COFAB-quote,,,,,,,,,,,,,,,,10,,,USD 36.00,USD 360.00,,,,,,,,,15.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PEEK Natural; source=10 Sample part (COFAB).xlsx#0022-26609
0022-26609,COFAB-quote,,,,,,,,,,,,,,,,20,,,USD 32.00,USD 640.00,,,,,,,,,15.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PEEK Natural; source=10 Sample part (COFAB).xlsx#0022-26609
0023-26807,COFAB-quote,,,,,,,,,,,,,,,,1,,,USD 194.09,USD 194.09,,,,,,,,,90.00,COFAB quote tier; class=Complex; part_type=cnc_lathe_milling; material=PVC White; source=10 Sample part (COFAB).xlsx#0023-26807
0023-26807,COFAB-quote,,,,,,,,,,,,,,,,2,,,USD 126.40,USD 252.80,,,,,,,,,90.00,COFAB quote tier; class=Complex; part_type=cnc_lathe_milling; material=PVC White; source=10 Sample part (COFAB).xlsx#0023-26807
0023-26807,COFAB-quote,,,,,,,,,,,,,,,,5,,,USD 85.78,USD 428.90,,,,,,,,,90.00,COFAB quote tier; class=Complex; part_type=cnc_lathe_milling; material=PVC White; source=10 Sample part (COFAB).xlsx#0023-26807
0023-26807,COFAB-quote,,,,,,,,,,,,,,,,10,,,USD 72.24,USD 722.40,,,,,,,,,90.00,COFAB quote tier; class=Complex; part_type=cnc_lathe_milling; material=PVC White; source=10 Sample part (COFAB).xlsx#0023-26807
0023-26807,COFAB-quote,,,,,,,,,,,,,,,,20,,,USD 65.47,USD 1309.40,,,,,,,,,90.00,COFAB quote tier; class=Complex; part_type=cnc_lathe_milling; material=PVC White; source=10 Sample part (COFAB).xlsx#0023-26807
0023-12036,COFAB-quote,,,,,,,,,,,,,,,,1,,,USD 88.93,USD 88.93,,,,,,,,,4.00,COFAB quote tier; class=Simple; part_type=cnc_lathe; material=Semitron ESD PEEK (480); source=10 Sample part (COFAB).xlsx#0023-12036
0023-12036,COFAB-quote,,,,,,,,,,,,,,,,5,,,USD 44.10,USD 220.50,,,,,,,,,4.00,COFAB quote tier; class=Simple; part_type=cnc_lathe; material=Semitron ESD PEEK (480); source=10 Sample part (COFAB).xlsx#0023-12036
0023-12036,COFAB-quote,,,,,,,,,,,,,,,,10,,,USD 38.37,USD 383.70,,,,,,,,,4.00,COFAB quote tier; class=Simple; part_type=cnc_lathe; material=Semitron ESD PEEK (480); source=10 Sample part (COFAB).xlsx#0023-12036
0023-12036,COFAB-quote,,,,,,,,,,,,,,,,20,,,USD 35.34,USD 706.80,,,,,,,,,4.00,COFAB quote tier; class=Simple; part_type=cnc_lathe; material=Semitron ESD PEEK (480); source=10 Sample part (COFAB).xlsx#0023-12036
0042-93726,COFAB-quote,,,,,,,,,,,,,,,,1,,,USD 66.50,USD 66.50,,,,,,,,,52.50,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (FMNS15, 0.5"" sheet); source=10 Sample part (COFAB).xlsx#0042-93726"
0042-93726,COFAB-quote,,,,,,,,,,,,,,,,5,,,USD 42.09,USD 210.45,,,,,,,,,52.50,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (FMNS15, 0.5"" sheet); source=10 Sample part (COFAB).xlsx#0042-93726"
0042-93726,COFAB-quote,,,,,,,,,,,,,,,,10,,,USD 33.96,USD 339.60,,,,,,,,,52.50,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (FMNS15, 0.5"" sheet); source=10 Sample part (COFAB).xlsx#0042-93726"
0042-83323,COFAB-quote,,,,,,,,,,,,,,,,1,,,USD 395.79,USD 395.79,,,,,,,,,103.00,COFAB quote tier; class=Complex; part_type=assembly; material=PVC (multi-item weldment); sub_items=2; source=10 Sample part (COFAB).xlsx#0042-83323
0042-46169,COFAB-quote,,,,,,,,,,,,,,,,1,,,USD 158.23,USD 158.23,,,,,,,,,77.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (multi-thickness); source=10 Sample part (COFAB).xlsx#0042-46169
0042-46169,COFAB-quote,,,,,,,,,,,,,,,,5,,,USD 81.57,USD 407.85,,,,,,,,,77.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (multi-thickness); source=10 Sample part (COFAB).xlsx#0042-46169
0042-46169,COFAB-quote,,,,,,,,,,,,,,,,10,,,USD 71.98,USD 719.80,,,,,,,,,77.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (multi-thickness); source=10 Sample part (COFAB).xlsx#0042-46169
0042-46169,COFAB-quote,,,,,,,,,,,,,,,,20,,,USD 67.20,USD 1344.00,,,,,,,,,77.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (multi-thickness); source=10 Sample part (COFAB).xlsx#0042-46169
0043-09967,COFAB-quote,,,,,,,,,,,,,,,,1,,,USD 146.81,USD 146.81,,,,,,,,,50.00,"COFAB quote tier; class=Simple; part_type=cnc_milling; material=CPVC, 3mm CLR sheet; source=10 Sample part (COFAB).xlsx#0043-09967"
0043-09967,COFAB-quote,,,,,,,,,,,,,,,,5,,,USD 67.40,USD 337.00,,,,,,,,,50.00,"COFAB quote tier; class=Simple; part_type=cnc_milling; material=CPVC, 3mm CLR sheet; source=10 Sample part (COFAB).xlsx#0043-09967"
0043-09967,COFAB-quote,,,,,,,,,,,,,,,,10,,,USD 57.47,USD 574.70,,,,,,,,,50.00,"COFAB quote tier; class=Simple; part_type=cnc_milling; material=CPVC, 3mm CLR sheet; source=10 Sample part (COFAB).xlsx#0043-09967"
0043-09967,COFAB-quote,,,,,,,,,,,,,,,,20,,,USD 54.89,USD 1097.80,,,,,,,,,50.00,"COFAB quote tier; class=Simple; part_type=cnc_milling; material=CPVC, 3mm CLR sheet; source=10 Sample part (COFAB).xlsx#0043-09967"
0042-88459,COFAB-quote,,,,,,,,,,,,,,,,1,,,USD 120.88,USD 120.88,,,,,,,,,9.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=Semitron ESD 480 PEEK; source=10 Sample part (COFAB).xlsx#0042-88459
0042-88459,COFAB-quote,,,,,,,,,,,,,,,,5,,,USD 76.05,USD 380.25,,,,,,,,,9.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=Semitron ESD 480 PEEK; source=10 Sample part (COFAB).xlsx#0042-88459
0042-88459,COFAB-quote,,,,,,,,,,,,,,,,10,,,USD 70.31,USD 703.10,,,,,,,,,9.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=Semitron ESD 480 PEEK; source=10 Sample part (COFAB).xlsx#0042-88459
0042-88459,COFAB-quote,,,,,,,,,,,,,,,,20,,,USD 67.29,USD 1345.80,,,,,,,,,9.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=Semitron ESD 480 PEEK; source=10 Sample part (COFAB).xlsx#0042-88459
0042-58555,COFAB-quote,,,,,,,,,,,,,,,,1,,,USD 340.04,USD 340.04,,,,,,,,,58.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PET-P (block); source=10 Sample part (COFAB).xlsx#0042-58555
0042-58555,COFAB-quote,,,,,,,,,,,,,,,,3,,,USD 167.24,USD 501.72,,,,,,,,,58.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PET-P (block); source=10 Sample part (COFAB).xlsx#0042-58555
0042-58555,COFAB-quote,,,,,,,,,,,,,,,,5,,,USD 132.68,USD 663.40,,,,,,,,,58.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PET-P (block); source=10 Sample part (COFAB).xlsx#0042-58555
0042-58555,COFAB-quote,,,,,,,,,,,,,,,,10,,,USD 112.17,USD 1121.70,,,,,,,,,58.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PET-P (block); source=10 Sample part (COFAB).xlsx#0042-58555
0042-51782,COFAB-quote,,,,,,,,,,,,,,,,3,,,USD 68.51,USD 205.53,,,,,,,,,36.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PET White; source=10 Sample part (COFAB).xlsx#0042-51782
0042-51782,COFAB-quote,,,,,,,,,,,,,,,,5,,,USD 56.45,USD 282.25,,,,,,,,,36.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PET White; source=10 Sample part (COFAB).xlsx#0042-51782
0042-51782,COFAB-quote,,,,,,,,,,,,,,,,10,,,USD 47.25,USD 472.50,,,,,,,,,36.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PET White; source=10 Sample part (COFAB).xlsx#0042-51782
0042-51782,COFAB-quote,,,,,,,,,,,,,,,,20,,,USD 42.48,USD 849.60,,,,,,,,,36.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PET White; source=10 Sample part (COFAB).xlsx#0042-51782
839-323453-001,COFAB-quote,,,,,,,,,,,,,,,,1,,,USD 1498.53,USD 1498.53,,,,,,,,,116.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=Unknown (customer-supplied blank F115-00616-00 REVA; Ti hardware suggests metallic substrate); source=2 Sample part (COFAB).xlsx#839-323453-001-A01-FAP
839-323453-001,COFAB-quote,,,,,,,,,,,,,,,,5,,,USD 1321.05,USD 6605.25,,,,,,,,,116.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=Unknown (customer-supplied blank F115-00616-00 REVA; Ti hardware suggests metallic substrate); source=2 Sample part (COFAB).xlsx#839-323453-001-A01-FAP
839-323453-001,COFAB-quote,,,,,,,,,,,,,,,,10,,,USD 1298.87,USD 12988.70,,,,,,,,,116.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=Unknown (customer-supplied blank F115-00616-00 REVA; Ti hardware suggests metallic substrate); source=2 Sample part (COFAB).xlsx#839-323453-001-A01-FAP
839-323453-001,COFAB-quote,,,,,,,,,,,,,,,,20,,,USD 1287.78,USD 25755.60,,,,,,,,,116.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=Unknown (customer-supplied blank F115-00616-00 REVA; Ti hardware suggests metallic substrate); source=2 Sample part (COFAB).xlsx#839-323453-001-A01-FAP
839-323453-001,COFAB-quote,,,,,,,,,,,,,,,,50,,,USD 1281.12,USD 64056.00,,,,,,,,,116.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=Unknown (customer-supplied blank F115-00616-00 REVA; Ti hardware suggests metallic substrate); source=2 Sample part (COFAB).xlsx#839-323453-001-A01-FAP
0041-28291,COFAB-quote,,,,,,,,,,,,,,,,1,,,USD 491.62,USD 491.62,,,,,,,,,137.00,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC Grey, 1.5"" thick; source=2 Sample part (COFAB).xlsx#0041-28291 REV05"
0041-28291,COFAB-quote,,,,,,,,,,,,,,,,5,,,USD 420.93,USD 2104.65,,,,,,,,,137.00,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC Grey, 1.5"" thick; source=2 Sample part (COFAB).xlsx#0041-28291 REV05"
0041-28291,COFAB-quote,,,,,,,,,,,,,,,,10,,,USD 412.10,USD 4121.00,,,,,,,,,137.00,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC Grey, 1.5"" thick; source=2 Sample part (COFAB).xlsx#0041-28291 REV05"
0041-28291,COFAB-quote,,,,,,,,,,,,,,,,20,,,USD 407.68,USD 8153.60,,,,,,,,,137.00,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC Grey, 1.5"" thick; source=2 Sample part (COFAB).xlsx#0041-28291 REV05"
0041-28291,COFAB-quote,,,,,,,,,,,,,,,,50,,,USD 405.03,USD 20251.50,,,,,,,,,137.00,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC Grey, 1.5"" thick; source=2 Sample part (COFAB).xlsx#0041-28291 REV05"
